Date,Station,Daily_MAX_AQI,Daily_MEDIAN_AQI
12-01-2020,Sirifort,500,391.5
13-01-2020,Sirifort,471,413.5
14-01-2020,Sirifort,358,300.5
15-01-2020,Sirifort,349,232.5
16-01-2020,Sirifort,362,303
17-01-2020,Sirifort,335,198
18-01-2020,Sirifort,374,280
19-01-2020,Sirifort,363,316
20-01-2020,Sirifort,411,308
21-01-2020,Sirifort,446,361.5
22-01-2020,Sirifort,451,357
23-01-2020,Sirifort,306,156.5
24-01-2020,Sirifort,362,126.5
25-01-2020,Sirifort,500,301
26-01-2020,Sirifort,500,362.5
27-01-2020,Sirifort,468,376.5
28-01-2020,Sirifort,340,303
29-01-2020,Sirifort,316,140.5
30-01-2020,Sirifort,322,200.5
31-01-2020,Sirifort,308,224.5
01-02-2020,Sirifort,323,264.5
02-02-2020,Sirifort,397,309
03-02-2020,Sirifort,461,325.5
04-02-2020,Sirifort,500,383.5
05-02-2020,Sirifort,433,334
06-02-2020,Sirifort,374,308
